particleid,straight_line_length_2d_ft,straight_line_length_3d_ft,x_start,y_start,z_start,x_end,y_end,z_end,total_volume_cubic_ft,hyporheic_volume_cubic_ft,total_residence_time_days,total_length_ft,particle_velocity_ft_per_day,flow_rate_cubic_ft_per_day,starting_hydraulic_head,ending_hydraulic_head,hydraulic_gradient,x_cell_size_ft,y_cell_size_ft,z_cell_size_ft
236,163.11330338016666,163.12595046819737,2407248.5149272773,10515590.360625861,1603.96875,2407260.55496634,10515427.6922909,1601.9375,363901.2939453125,52649.1943359375,88.28659,168.92543,1.085283,31869.619086498875,1604.74792,1602.32654,0.01484362232404013,10.0,10.0,0.5
237,173.7784941231305,173.79148611109497,2407258.5149272773,10515590.360625861,1603.96875,2407264.9665874336,10515416.701934455,1601.84375,387399.3408203125,52954.57763671875,85.68617,180.52261,1.2302833,30502.20029366396,1604.74585,1602.08997,0.015281991422193561,10.0,10.0,0.5
238,180.53439394139127,180.55127283502588,2407268.5149272773,10515590.360625861,1603.96875,2407267.9692729805,10515409.827056525,1601.5,396136.63330078125,53108.0078125,84.20982,191.23212,1.3888302,29756.942276038666,1604.74377,1601.83386,0.01611680690093466,10.0,10.0,0.5
239,196.79366197571673,196.81244116004243,2407278.5149272773,10515590.360625861,1603.96875,2407270.23465384,10515393.741241096,1601.25,379573.3154296875,53032.0556640625,92.74236,219.00868,1.4539118,29938.75273314597,1604.74268,1601.6853,0.01553448543181165,10.0,10.0,0.5
244,127.02956761240831,127.03770091608796,2407218.5149272773,10515600.360625861,1604.0,2407237.555332551,10515474.76614344,1602.5625,287436.4013671875,51059.2041015625,147.8153,134.43456,0.48893985,40886.942955466126,1604.75513,1602.69922,0.016183463532278716,10.0,10.0,0.5
245,143.86703450647693,143.87730091731052,2407228.5149272773,10515600.360625861,1603.96875,2407247.899082551,10515457.80545008,1602.25,335043.05419921875,52095.654296875,139.18303,150.63312,0.7436983,34826.048209193956,1604.75378,1602.69934,0.014279111346277238,10.0,10.0,0.5
246,172.73983921784873,172.75178155252328,2407238.5149272773,10515600.360625861,1603.96875,2407258.0459331367,10515428.728484748,1601.9375,364195.9228515625,52694.81201171875,131.98483,177.43893,0.9566155,31904.395830490434,1604.75244,1602.32654,0.014042691648088084,10.0,10.0,0.5
247,182.54931711091513,182.5639636782447,2407248.5149272773,10515600.360625861,1603.96875,2407263.2572368477,10515418.407561896,1601.65625,389258.99658203125,53335.33935546875,121.96796,188.26425,1.1168419,29976.696644196432,1604.7511,1602.08997,0.01457642541487541,10.0,10.0,0.5
248,187.4983748175701,187.51462685826004,2407258.5149272773,10515600.360625861,1603.96875,2407266.180454621,10515413.019012092,1601.5,403058.55712890625,53267.1875,115.06279,194.91039,1.1657768,29677.55839938778,1604.74963,1601.83386,0.015549560313521888,10.0,10.0,0.5
249,197.99833289896935,198.01411523113975,2407268.5149272773,10515600.360625861,1603.96875,2407268.178379426,10515402.362578986,1601.46875,401749.79248046875,53451.25732421875,104.85286,211.44098,1.2381287,28765.03123220889,1604.74878,1601.76086,0.015089429339479344,10.0,10.0,0.5
250,213.29675155451397,213.31407788814727,2407278.5149272773,10515600.360625861,1603.96875,2407270.897983918,10515387.199920295,1601.25,370448.193359375,52941.2353515625,108.73701,239.37152,1.263966,30517.53916655037,1604.74854,1601.6853,0.014360233653243374,10.0,10.0,0.5
262,197.0402481862091,197.05571326872354,2407248.5149272773,10515610.360625861,1603.96875,2407264.5923198555,10515413.977386115,1601.5,399709.6435546875,50998.5107421875,227.23,203.25502,1.0613512,27699.57593890523,1604.75452,1602.08997,0.013521810435236325,10.0,10.0,0.5
263,202.08150986709137,202.09658917637833,2407258.5149272773,10515610.360625861,1603.96875,2407266.806919465,10515408.449309943,1601.5,413584.423828125,54000.35400390625,189.72025,210.14578,1.0928638,28613.99217723051,1604.75354,1601.83386,0.01444695336966742,10.0,10.0,0.5
264,212.42834544377808,212.44305577726263,2407268.5149272773,10515610.360625861,1603.96875,2407268.532383332,10515397.932281135,1601.46875,402589.35546875,53543.17626953125,149.62221,226.7215,1.0963906,28608.07226621107,1604.75293,1601.76086,0.014084103568614965,10.0,10.0,0.5
265,225.74577667982533,225.76448342872726,2407278.5149272773,10515610.360625861,1603.96875,2407270.96915091,10515384.740996955,1601.0625,373584.47265625,53078.41796875,129.75755,250.88591,1.154789,30191.18351581948,1604.75281,1601.62561,0.013851603017917316,10.0,10.0,0.5
266,231.91787370197702,231.94197724109506,2407288.5149272773,10515610.360625861,1604.40625,2407272.7630962227,10515378.978301642,1601.0625,334494.3603515625,52130.8837890625,122.42108,260.31674,1.0094026,34128.045989742066,1604.75305,1601.62561,0.01348371707959151,10.0,10.0,0.5
281,244.8475893256473,244.86713394746005,2407288.5149272773,10515620.360625861,1604.15625,2407272.635044465,10515376.028533576,1601.0625,340853.50341796875,52295.6787109375,216.60878,270.61105,0.86152095,33417.122698918836,1604.75452,1601.62561,0.012777990862061791,10.0,10.0,0.5
